{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8509674, 'test gap-rms-gender': 0.040780034, 'test gap-rms-race': 0.0219898, 'test bal-acc': 0.74813366}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 20.0, 'test-acc': 0.8510779, 'test gap-rms-gender': 0.038394578, 'test gap-rms-race': 0.023377119, 'test bal-acc': 0.74249613}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 20.0, 'test-acc': 0.83217245, 'test gap-rms-gender': 0.097889505, 'test gap-rms-race': 0.051070705, 'test bal-acc': 0.8215311}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.8259812, 'test gap-rms-gender': 0.08282206, 'test gap-rms-race': 0.04993212, 'test bal-acc': 0.8118849}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.82244337, 'test gap-rms-gender': 0.10859569, 'test gap-rms-race': 0.055763446, 'test bal-acc': 0.8157214}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 30.0, 'test-acc': 0.85008293, 'test gap-rms-gender': 0.05280206, 'test gap-rms-race': 0.042502142, 'test bal-acc': 0.77702844}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 30.0, 'test-acc': 0.8395799, 'test gap-rms-gender': 0.024648169, 'test gap-rms-race': 0.010202991, 'test bal-acc': 0.69492614}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 20.0, 'test-acc': 0.8511885, 'test gap-rms-gender': 0.052097227, 'test gap-rms-race': 0.030480256, 'test bal-acc': 0.7768328}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 30.0, 'test-acc': 0.8402432, 'test gap-rms-gender': 0.17696834, 'test gap-rms-race': 0.06370629, 'test bal-acc': 0.8071071}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.85085684, 'test gap-rms-gender': 0.04908484, 'test gap-rms-race': 0.041539147, 'test bal-acc': 0.76658154}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 30.0, 'test-acc': 0.72028744, 'test gap-rms-gender': 0.120578334, 'test gap-rms-race': 0.054285426, 'test bal-acc': 0.7908348}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 20.0, 'test-acc': 0.8474295, 'test gap-rms-gender': 0.06474495, 'test gap-rms-race': 0.023237132, 'test bal-acc': 0.7257322}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 20.0, 'test-acc': 0.8469873, 'test gap-rms-gender': 0.10430601, 'test gap-rms-race': 0.050114542, 'test bal-acc': 0.79535645}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 30.0, 'test-acc': 0.8238806, 'test gap-rms-gender': 0.11775922, 'test gap-rms-race': 0.06525376, 'test bal-acc': 0.8263943}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 30.0, 'test-acc': 0.8254284, 'test gap-rms-gender': 0.018241962, 'test gap-rms-race': 0.008536188, 'test bal-acc': 0.6536291}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 20.0, 'test-acc': 0.83040357, 'test gap-rms-gender': 0.17862874, 'test gap-rms-race': 0.062287934, 'test bal-acc': 0.8215973}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.81149805, 'test gap-rms-gender': 0.08160432, 'test gap-rms-race': 0.04706073, 'test bal-acc': 0.8157449}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 50.0, 'test-acc': 0.7996683, 'test gap-rms-gender': 0.07046429, 'test gap-rms-race': 0.04076661, 'test bal-acc': 0.8048433}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 40.0, 'test-acc': 0.82664454, 'test gap-rms-gender': 0.017081212, 'test gap-rms-race': 0.009976218, 'test bal-acc': 0.6572106}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 20.0, 'test-acc': 0.8159204, 'test gap-rms-gender': 0.13769107, 'test gap-rms-race': 0.06496255, 'test bal-acc': 0.82792675}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 20.0, 'test-acc': 0.8339414, 'test gap-rms-gender': 0.16864927, 'test gap-rms-race': 0.05835011, 'test bal-acc': 0.8183781}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 10.0, 'test-acc': 0.820785, 'test gap-rms-gender': 0.095718265, 'test gap-rms-race': 0.05178806, 'test bal-acc': 0.8224972}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 10.0, 'test-acc': 0.8168049, 'test gap-rms-gender': 0.085841276, 'test gap-rms-race': 0.05092333, 'test bal-acc': 0.8206396}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 50.0, 'test-acc': 0.84842455, 'test gap-rms-gender': 0.03416995, 'test gap-rms-race': 0.01920915, 'test bal-acc': 0.7427497}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 30.0, 'test-acc': 0.84997237, 'test gap-rms-gender': 0.03776099, 'test gap-rms-race': 0.021935413, 'test bal-acc': 0.7377529}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.82421225, 'test gap-rms-gender': 0.086719975, 'test gap-rms-race': 0.05467363, 'test bal-acc': 0.81935936}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8308458, 'test gap-rms-gender': 0.03432068, 'test gap-rms-race': 0.01564893, 'test bal-acc': 0.67125285}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 30.0, 'test-acc': 0.83040357, 'test gap-rms-gender': 0.21041477, 'test gap-rms-race': 0.06523937, 'test bal-acc': 0.8200538}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.808513, 'test gap-rms-gender': 0.07782062, 'test gap-rms-race': 0.03987972, 'test bal-acc': 0.8014257}
