{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.82929796, 'test gap-rms-gender': 0.09695584, 'test gap-rms-race': 0.047119055, 'test bal-acc': 0.80728495}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.77202874, 'test gap-rms-gender': 0.09410981, 'test gap-rms-race': 0.007867428, 'test bal-acc': 0.5334656}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.83139855, 'test gap-rms-gender': 0.02552568, 'test gap-rms-race': 0.019220194, 'test bal-acc': 0.66637045}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.37324488, 'test gap-rms-gender': 0.70457375, 'test gap-rms-race': 0.10843825, 'test bal-acc': 0.32018787}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.820785, 'test gap-rms-gender': 0.06975392, 'test gap-rms-race': 0.054961912, 'test bal-acc': 0.8113847}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.84809285, 'test gap-rms-gender': 0.070694976, 'test gap-rms-race': 0.030800996, 'test bal-acc': 0.7528714}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 80.0, 'test-acc': 0.8453289, 'test gap-rms-gender': 0.037399963, 'test gap-rms-race': 0.0084700845, 'test bal-acc': 0.7153928}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.848314, 'test gap-rms-gender': 0.071096346, 'test gap-rms-race': 0.058132153, 'test bal-acc': 0.799011}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.8400221, 'test gap-rms-gender': 0.03440988, 'test gap-rms-race': 0.014957602, 'test bal-acc': 0.72948194}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.73454946, 'test gap-rms-gender': 0.50993985, 'test gap-rms-race': 0.047730073, 'test bal-acc': 0.5320121}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.75820893, 'test gap-rms-gender': 0.0045086513, 'test gap-rms-race': 0.00041359657, 'test bal-acc': 0.5027285}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.8250967, 'test gap-rms-gender': 0.07127379, 'test gap-rms-race': 0.0046613994, 'test bal-acc': 0.6635965}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.8458817, 'test gap-rms-gender': 0.06974997, 'test gap-rms-race': 0.021097189, 'test bal-acc': 0.76344925}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.8187949, 'test gap-rms-gender': 0.08140085, 'test gap-rms-race': 0.048463117, 'test bal-acc': 0.81084174}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.8368159, 'test gap-rms-gender': 0.06804366, 'test gap-rms-race': 0.039285325, 'test bal-acc': 0.7983607}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.24488668, 'test gap-rms-gender': 0.0016367164, 'test gap-rms-race': 0.0031723457, 'test bal-acc': 0.5007056}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.81658375, 'test gap-rms-gender': 0.04455335, 'test gap-rms-race': 0.010759328, 'test bal-acc': 0.63574773}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.8391377, 'test gap-rms-gender': 0.09961884, 'test gap-rms-race': 0.035509765, 'test bal-acc': 0.7914057}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.8231067, 'test gap-rms-gender': 0.07299401, 'test gap-rms-race': 0.04627644, 'test bal-acc': 0.78544575}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.85085684, 'test gap-rms-gender': 0.041694093, 'test gap-rms-race': 0.022749726, 'test bal-acc': 0.74806064}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.83416253, 'test gap-rms-gender': 0.049001053, 'test gap-rms-race': 0.02893707, 'test bal-acc': 0.6992188}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.75688225, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 80.0, 'test-acc': 0.8440022, 'test gap-rms-gender': 0.024132373, 'test gap-rms-race': 0.021413375, 'test bal-acc': 0.7230051}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.60873413, 'test gap-rms-gender': 0.26044518, 'test gap-rms-race': 0.07988338, 'test bal-acc': 0.73087835}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 80.0, 'test-acc': 0.8427861, 'test gap-rms-gender': 0.026097823, 'test gap-rms-race': 0.021149205, 'test bal-acc': 0.7226647}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8406855, 'test gap-rms-gender': 0.041268468, 'test gap-rms-race': 0.0099799745, 'test bal-acc': 0.72760504}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.848314, 'test gap-rms-gender': 0.056426167, 'test gap-rms-race': 0.03161526, 'test bal-acc': 0.7664451}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8276396, 'test gap-rms-gender': 0.063931055, 'test gap-rms-race': 0.036924995, 'test bal-acc': 0.77609295}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.8379215, 'test gap-rms-gender': 0.01851601, 'test gap-rms-race': 0.006781906, 'test bal-acc': 0.6998499}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.76163626, 'test gap-rms-gender': 0.046396203, 'test gap-rms-race': 0.00395447, 'test bal-acc': 0.5097772}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.8254284, 'test gap-rms-gender': 0.121403545, 'test gap-rms-race': 0.030333515, 'test bal-acc': 0.7808058}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.84013265, 'test gap-rms-gender': 0.07743795, 'test gap-rms-race': 0.027357519, 'test bal-acc': 0.7837286}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.75091213, 'test gap-rms-gender': 0.3577637, 'test gap-rms-race': 0.043902993, 'test bal-acc': 0.58186954}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 80.0, 'test-acc': 0.76727474, 'test gap-rms-gender': 0.0008130563, 'test gap-rms-race': 0.0008914682, 'test bal-acc': 0.5215277}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.7670536, 'test gap-rms-gender': 0.16390637, 'test gap-rms-race': 0.014075465, 'test bal-acc': 0.5240054}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.8239912, 'test gap-rms-gender': 0.020889746, 'test gap-rms-race': 0.0070868926, 'test bal-acc': 0.6563839}
